Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2023-06-26,Cboe Options Exchange (C),3676937,533540,949359984.000000,3131038,582824,5342270777.000000,6807975,1116364,6291630761.000000
2023-06-26,MIAX Emerald (D),1018300,184659,272888664.000000,0,0,0.000000,1018300,184659,272888664.000000
2023-06-26,Cboe EDGX Options Exchange (E),1991338,304161,364879731.000000,0,0,0.000000,1991338,304161,364879731.000000
2023-06-26,Nasdaq GEMX (H),907580,132655,179082512.000000,1098,163,9418020.000000,908678,132818,188500532.000000
2023-06-26,Nasdaq ISE (I),1792422,234299,583013581.000000,19376,8600,98204279.000000,1811798,242899,681217860.000000
2023-06-26,Nasdaq MRX (J),640928,97573,141263353.000000,0,0,0.000000,640928,97573,141263353.000000
2023-06-26,MIAX Options Exchange (M),2121410,359615,540889810.000000,5,1,840.000000,2121415,359616,540890650.000000
2023-06-26,NYSE Arca Options (N),4065750,579447,1023577771.000000,0,0,0.000000,4065750,579447,1023577771.000000
2023-06-26,MIAX Pearl (P),2383757,258538,445505666.000000,0,0,0.000000,2383757,258538,445505666.000000
2023-06-26,NASDAQ Options Market (Q),2165110,314776,534868917.000000,0,0,0.000000,2165110,314776,534868917.000000
2023-06-26,Nasdaq BX Options (T),965983,142925,162416291.000000,0,0,0.000000,965983,142925,162416291.000000
2023-06-26,Cboe C2 Options Exchange (W),1569454,196360,305121717.000000,14965,3552,22981867.000000,1584419,199912,328103584.000000
2023-06-26,Nasdaq PHLX (X),3208928,242883,1061761934.000000,20292,9781,97166299.000000,3229220,252664,1158928233.000000
2023-06-26,Cboe BZX Options Exchange (Z),1996107,272402,487470879.000000,724,250,2660020.000000,1996831,272652,490130899.000000
2023-06-23,NYSE American Options (A),2205357,234883,524129913.000000,0,0,0.000000,2205357,234883,524129913.000000
2023-06-23,BOX Options (B),2256783,277537,656144455.000000,0,0,0.000000,2256783,277537,656144455.000000
